,Year,Month,Date,truck,hour,Upload speed (Mbits/sec),Download speed (MBits/sec),Download speed (MBytes),Upload size (MBytes),Upload throughput (MBytes),speed,Response time from CloudflareDNS (ms),Response time from GoogleDNS (ms),Response time from OptusDNS (ms),Response time from EC2DNS (ms)
4,2022.0,7.0,18.0,garbo08,13.0,14.0557478368356,30.488616637051916,3.634379768135816,1.6733621755253398,0.003051544344702397,53.736423535783366,293.39744160177975,293.8057842046719,293.26529477196885,308.4201334816463
0,2022.0,7.0,19.0,garbo08,14.0,7.87674672489083,27.988116940161024,3.3362707786060315,0.9377401746724892,0.001548961759519602,2.8670250629067247,551.3839848675914,554.0825977301387,554.6168978562422,571.2258511979824
1,2022.0,7.0,19.0,garbo08,15.0,13.395500725689406,48.16413642960812,5.741603546806966,1.5947024673439767,0.0024840108304101764,2.122883181422351,128.88324958123954,126.74388609715244,126.35929648241206,143.14907872696818
0,2022.0,7.0,20.0,garbo08,9.0,13.195953389830509,17.272563559322034,2.059049672272246,1.5725164277674788,0.0022904185148385436,1.5965611504761905,137.51402373247032,136.59298813376483,135.42491909385112,156.15113268608414
1,2022.0,7.0,20.0,garbo08,10.0,6.622783417935702,10.90246187936231,1.2997532899085238,0.7885160876692047,0.00955057856263355,19.12058947985348,318.0396981627297,317.56135170603676,316.56213910761153,335.74593175853016
2,2022.0,7.0,20.0,garbo08,11.0,10.59899833055092,13.70680184204577,1.6343781492374445,1.2618252643294379,0.008281902266530463,6.114829987757373,387.9141472868217,387.20219638242895,387.04334625322997,402.1659237726098
3,2022.0,7.0,20.0,garbo08,12.0,20.394094707520892,9.115503296918524,1.0873154487291086,2.427924791086351,0.004674283242823311,5.360843676880223,173.09552767052767,169.40929858429857,165.28149935649935,189.86615186615185
4,2022.0,7.0,20.0,garbo08,13.0,9.604828021457873,33.296290486653646,3.9693436439591228,1.143499526664563,0.0075430462541582815,40.66500714285714,385.0198008849557,384.6957227138643,383.77584808259587,399.7553097345132
0,2022.0,7.0,22.0,garbo08,5.0,16.115898305084748,10.686338983050847,1.273416843220339,1.9218283898305086,0.0034664516095761675,-1.0,550.2948419301165,550.5294509151414,550.1382695507488,558.763394342762
1,2022.0,7.0,22.0,garbo08,6.0,15.375064478311842,6.486342321219227,0.7732058726553341,1.8338276670574445,0.002890218591466153,-1.0,126.2906779661017,126.16949152542372,124.85084745762713,145.6598062953995
2,2022.0,7.0,22.0,garbo08,14.0,15.77159090909091,10.326931818181817,1.2313636363636364,1.8815802556818184,0.003945628208900535,-1.0,398.3558333333333,397.96083333333337,397.44083333333333,413.05916666666667
3,2022.0,7.0,22.0,garbo08,15.0,11.332729885057471,62.88697406340057,7.497060518731988,1.3493059671336207,0.003581838787726605,-1.0,465.69071729957807,470.8002109704641,473.87784810126584,489.17932489451476
0,2022.0,7.0,6.0,garbo09,6.0,13.403402061855669,10.65872852233677,1.270484489100086,1.5978718991623713,0.008351777729235156,20.33874696227294,59.80969989281886,61.79093783494105,181.2540192926045,78.79646302250805
1,2022.0,7.0,6.0,garbo09,7.0,13.381781147784716,16.020683140750446,1.9098576797362845,1.5939351142023492,0.005396765823205416,5.783392751709783,51.61039890896692,52.798329355608594,177.40334128878283,70.57865666553018
2,2022.0,7.0,6.0,garbo09,8.0,12.588580423583286,16.69719232970807,1.9904758492236692,1.4986405266170577,0.0,4.648317261591299,49.303466317854806,49.416448659254414,173.2053629823414,67.5099411379987
3,2022.0,7.0,6.0,garbo09,9.0,14.62217887991084,10.952461127969142,1.3057816554271733,1.7407355809417666,0.0,10.320162476455838,45.40799238820171,45.14973041547732,169.48683793212814,62.913003488740884
4,2022.0,7.0,6.0,garbo09,10.0,8.753894258101194,14.54164851411491,1.733645156938424,1.0421404206935758,0.0,29.378909688459352,304.4595919710431,304.69134583744653,402.34879894702203,318.6703520895031
5,2022.0,7.0,6.0,garbo09,11.0,17.213288834951456,13.406862407795433,1.5983526937244008,2.0494538834951457,0.0,5.660203884708738,34.55468424705066,35.02300485773768,160.0971547536433,52.80780707841777
6,2022.0,7.0,6.0,garbo09,12.0,14.59238706079197,12.39269694101192,1.4774915088625906,1.7373117679866146,0.0,8.122859738984943,92.73003194888179,91.0388178913738,213.44536741214057,108.77971246006389
7,2022.0,7.0,6.0,garbo09,13.0,6.419578134284016,17.268286518679442,2.0586552159926472,0.7642602495543672,0.0,26.841697298871065,474.6345065562457,475.85665976535546,556.9171842650104,488.66169772256734
8,2022.0,7.0,6.0,garbo09,14.0,13.297657841140529,50.884929393139004,6.065201120162933,1.5835030549898168,0.001196160728548771,30.726122611032533,299.2771986970684,299.4701954397394,390.46254071661235,310.0425081433225
9,2022.0,7.0,6.0,garbo09,15.0,,,,,0.0043410573686872,-1.0,524.6122222222222,525.2266666666667,586.2888888888889,534.5455555555556
0,2022.0,7.0,7.0,garbo09,5.0,17.66427402862986,43.73388232521728,5.213257295261376,2.1045732415218135,0.009234576126800027,11.695400546906187,61.809449120122416,61.3393649579189,182.69701606732977,83.90803366488142
1,2022.0,7.0,7.0,garbo09,6.0,3.324410990938322,14.337704407291362,1.7092273281067305,0.395735165156387,0.009126507653997681,5.2914801683718204,453.2511247443763,451.9532379004772,535.0589638718473,467.7699727334697
2,2022.0,7.0,7.0,garbo09,7.0,3.62989479836353,13.287136280409849,1.5838483154724943,0.4321303331385155,0.005737517327331474,5.393940808883694,482.4184845395855,481.7913353720693,561.7801563030921,498.3939857288481
